2021-12-15T17:53:35+00:00
Running ./build/Bench/bench_dphp_bvh
Run on (256 X 3303.1 MHz CPU s)
CPU Caches:
  L1 Data 32 KiB (x128)
  L1 Instruction 32 KiB (x128)
  L2 Unified 512 KiB (x128)
  L3 Unified 16384 KiB (x32)
Load Average: 0.00, 0.00, 0.00
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"primitives","primitives/s"
"BM_CudaBVHBuilderAlgorithmOnly/conference/iterations:1/manual_time",1,2.54538e+06,4.34003e+06,ns,,,,,,282759,1.11087e+08
"BM_CudaBVHBuilderAlgorithmOnly/conference/iterations:1/manual_time",1,2.52387e+06,4.3137e+06,ns,,,,,,282759,1.12034e+08
"BM_CudaBVHBuilderAlgorithmOnly/conference/iterations:1/manual_time",1,2.53539e+06,4.29034e+06,ns,,,,,,282759,1.11525e+08
"BM_CudaBVHBuilderAlgorithmOnly/conference/iterations:1/manual_time",1,2.63347e+06,4.37656e+06,ns,,,,,,282759,1.07371e+08
"BM_CudaBVHBuilderAlgorithmOnly/conference/iterations:1/manual_time",1,2.53277e+06,4.31515e+06,ns,,,,,,282759,1.1164e+08
"BM_CudaBVHBuilderAlgorithmOnly/conference/iterations:1/manual_time",1,2.5423e+06,4.27692e+06,ns,,,,,,282759,1.11222e+08
"BM_CudaBVHBuilderAlgorithmOnly/conference/iterations:1/manual_time",1,2.49997e+06,4.23962e+06,ns,,,,,,282759,1.13105e+08
"BM_CudaBVHBuilderAlgorithmOnly/conference/iterations:1/manual_time",1,2.4783e+06,4.21836e+06,ns,,,,,,282759,1.14094e+08
"BM_CudaBVHBuilderAlgorithmOnly/conference/iterations:1/manual_time",1,2.43994e+06,4.20176e+06,ns,,,,,,282759,1.15888e+08
"BM_CudaBVHBuilderAlgorithmOnly/conference/iterations:1/manual_time",1,2.48458e+06,4.24738e+06,ns,,,,,,282759,1.13806e+08
